ranking,imdb_id,director,actor 1,actior 2,rating,
231,tt0079470,Terry Jones (dir.),Graham Chapman, John Cleese,8.04091773847266,
232,tt0116231,Yavuz Turgul (dir.),Sener Sen, Ugur Yücel,8.038891121828316,
233,tt0395169,Terry George (dir.),Don Cheadle, Sophie Okonedo,8.038522041557657,
234,tt0118694,Kar-Wai Wong (dir.),Tony Chiu-Wai Leung, Maggie Cheung,8.03759152227309,
235,tt1979320,Ron Howard (dir.),Daniel Brühl, Chris Hemsworth,8.037229264414824,
236,tt0758758,Sean Penn (dir.),Emile Hirsch, Vince Vaughn,8.035901008838838,
237,tt0245712,Alejandro G. Iñárritu (dir.),Emilio Echevarría, Gael García Bernal,8.034325440520778,
238,tt0075148,John G. Avildsen (dir.),Sylvester Stallone, Talia Shire,8.03406672118093,
239,tt0087544,Hayao Miyazaki (dir.),Sumi Shimamoto, Mahito Tsujimura,8.03179261198206,
240,tt0060107,Andrei Tarkovsky (dir.),Anatoliy Solonitsyn, Ivan Lapikov,8.029839627966755,
241,tt0025316,Frank Capra (dir.),Clark Gable, Claudette Colbert,8.029377279577776,
242,tt0381681,Richard Linklater (dir.),Ethan Hawke, Julie Delpy,8.02770410794013,
243,tt0083922,Ingmar Bergman (dir.),Bertil Guve, Pernilla Allwin,8.027604650971268,
244,tt0058946,Gillo Pontecorvo (dir.),Brahim Hadjadj, Jean Martin,8.025850465359186,
245,tt0169858,Hideaki Anno (dir.),Megumi Ogata, Megumi Hayashibara,8.025226440586215,
246,tt0050783,Federico Fellini (dir.),Giulietta Masina, François Périer,8.023058048827064,
247,tt0093779,Rob Reiner (dir.),Cary Elwes, Mandy Patinkin,8.022843208758347,
248,tt0087884,Wim Wenders (dir.),Harry Dean Stanton, Nastassja Kinski,8.022146359231488,
249,tt0111495,Krzysztof Kieslowski (dir.),Irène Jacob, Jean-Louis Trintignant,8.021360660660589,
250,tt2991224,Zaza Urushadze (dir.),Lembit Ulfsak, Elmo Nüganen,8.019925624066646,
